title,description,company,created_date
Regional Sales Director,"Purpose Statement:We are looking for Regional Sales Director for Americas (East) who will accelerate our sales growth for our media technology business in the Americas.Main Responsibilities:As a key leader of the company enabling Amagi’s success in Americas, you will: Evangelize Amagi’s platform to the broadcast communityEnsure success of Amagi’s customers, building mutual and long term relationshipsWork along with the Global Sales Head & Head Americas to drive the sales strategy for the regionManage the Sales cycle from lead generation to closureClosely work with internal teams to ensure customer successKnowledge, Skills & Experience:You have loads of passion, self-drive and entrepreneurial attitudeYou are insanely driven and ambitious – have always exceeded your targetsYou are willing to go the ‘extra mile’ to drive sales You are willing to do whatever it takes to make the company succeedYou are interested in working in a fast-paced, high growth startup environment with limited supervision.You have experience of 5 to 10 years in selling in broadcasting domain or selling high value technology products/services, preferably in the Digital and OTT spaceYou have a good understanding of new technologies, ideally with a background in software/technology.You have excellent communication skills – customers love you.You are an excellent team player – putting the needs of the team before yours.",Droom,2 months ago
Project Manager,"Technical Project Manager (Onboarding)Project manager will be responsible to execute the onboarding of new channels using Amagi solutions. The process involves standard steps - identifying requirements, planning, identifying risks, coordination with internal and external teams, execution, status reporting and formal handover/closure. Regular communication is required with channels, partners and internal teams to align on the project goals and risks. Additionally, there is need to setup and continuous improvement of processes, checklist, documents and other artifacts required for onboarding and regular operations. Beyond onboarding phase, onboarding manager is expected to serve as point of contact with customer for escalation and issue resolution till channel operations are smooth. This involves periodic review over meeting, continuous update on status of major issues and progress of features.ResponsibilitiesIdentify requirements - hardware, infrastructure and software customizationPlanning, tracking and status reporting to stakeholdersCoordination with teams - purchase, shipping, engineering, support, finance, vendors, partners and customersEnsure that workflows are established for operational phaseSOP for channel operations, incidentsRegular review mechanism with customers, partners and internal teamsPublish dashboard on ongoing projects and channelsExperience, Knowledge & SkillsExperience in planning and project management of delivery to customersKnowledge of IT and (or) Broadcast services, deployment, challenges in them is a must.Experience in managing small to medium teams responsible for customer deliveryExcellent communication skills – both written and verbal is important as customers are from different geographiesPreference for candidates who have worked in the broadcast / OTT / Digital media space. Working knowledge of channel provisioning and scheduling, ad insertion (static and dynamic), stream delivery via multiple mechanisms like satellite, IP, Fibre, Zixi / VideoFlow / OTT is a major preferenceCandidates who have experience working with large broadcast playersAbility to understand the underlying tech, simplifying it for potential customers and communicating it effectively",BlackBuck,1 week ago
Group Head Sales,"Purpose Statement:The Group Head Sales Manager is responsible for growing ad sales in Karnataka/APMain Responsibilities:SALES (New business development & Revenue Management):Generating and enhancing Ad Revenues for the relevant marketCollection of revenuesNew business / client acquisitionSet up and build high performing teamClient ServicingBrand BuildingSustaining / nurturing client relationshipClient retentionSALES (Account management)Be responsible for account management for existing customers in the regionBuild relationship across multiple teams within the customer organizationEnsure customer satisfaction and timely communication/resolution from internal teams on customer issuesIdentify new opportunities for sales and grow the account revenuesReportingPresent realistic forecasts to management team on a periodic basis Effectively communicate and report on progress with various sales activities in the regionGather market intelligence and customer inputs and provide feedback to strategy and technology teams within the organizationKnowledge, Skills & Experience:Must come with 5- 7 years of experience in media sales with demonstrable sales performanceMust have excellent clientele network with strong relationship with top agencies.Must come with people management experience (at least 2 – 3 years)Experience of having worked with a TV channel/s / Radio is mandatory.Excellent client servicing abilityStrong market understanding and domain knowledge (TV medium)Ability to understand client needs and align Amagi medium to the specific needsKey Measures:Key objective is to meet and exceed sales goals, so critical to have clear number focus and ability to meet targets consistentlyAbility to ensure customer delight and grow existing customer accountsRequires in-depth understanding of our technology, customer requirements and competitor products to successfully persuade customer to choose company’s productsOther requirements:An MBA from a reputed business school",Nirmal Lifestyles,1 week ago
Software Engineer,"Role: You will form part of a team that will build infrastructure to revolutionize the way real-estate transactions work in India. You will be working closely with our product team to build new and compelling experiences for our customers. We are looking for a solid rockstar engineer who can hack around multiple technologies and build highly scalable, low latency, distributed systems with RESTful services, latest frontend MVC frameworks, native apps for android & IOS and part of building core frontend frameworks. The pace of our growth is incredible - if you want to tackle hard and interesting problems at scale, and create an impact within an entrepreneurial environment, join us! Responsibilities: Build robust secure and scalable micro-services to power NoBroker platform for end customers. Contibute to NoBroker customer success cloud and enable data driven decisions using bots, machine learning & artifical intelligence algorithms. Responsible to implement RESTful services with a metric-driven KPIs. Work closely with other team members to develop world class reusable UI components. Desired Skills: Exposure in building RESTful APIs and Keeping eye with any monitoring tools like hystrix, graphite and grafana. Hands on working experience with Scalable and fault tolerant application. Working experience with data bases like sql and nosql ( MySQL, MonogoDB, Redis, Elasticsearch). Knowledge of event driven programming. Solid background with frontend technology like javascript and jquery. Provenance experience with any ORM tools like JEE, Spring, Hibernate. High adaptability in a dynamic start-up environment. Experience: B.Tech/B.E. from a reputed college or related technical discipline with 2+years of hands on experience in above mentioned Technology and programming methodology. If you have all/any of the above and you think that you can be a part of our growth journey of disrupting the real estate world, apply for the job by mailing us at careers@nobroker.in",VIVO Healthcare,2 hours ago
Senior Software Engineer,"Role: You will form part of a team that will build infrastructure to revolutionize the way real-estate transactions work in India. You will be working closely with our product team to build new and compelling experiences for our customers. We are looking for a solid rockstar engineer who can hack around multiple technologies and build highly scalable, low latency, distributed systems with RESTful services, latest frontend MVC frameworks, native apps for android & IOS and part of building core frontend frameworks. The pace of our growth is incredible - if you want to tackle hard and interesting problems at scale, and create an impact within an entrepreneurial environment, join us! Responsibilities: Build robust secure and scalable micro-services to power NoBroker platform for end customers. Contibute to NoBroker customer success cloud and enable data driven decisions using bots, machine learning & artifical intelligence algorithms. Responsible to implement RESTful services with a metric-driven KPIs. Work closely with other team members to develop world class reusable UI components. Desired Skills: Exposure in building RESTful APIs and Keeping eye with any monitoring tools like hystrix, graphite and grafana. Hands on working experience with Scalable and fault tolerant application. Working experience with data bases like sql and nosql ( MySQL, MonogoDB, Redis, Elasticsearch). Knowledge of event driven programming. Solid background with frontend technology like javascript and jquery. Provenance experience with any ORM tools like JEE, Spring, Hibernate. High adaptability in a dynamic start-up environment. Experience: B.Tech/B.E. from a reputed college or related technical discipline with 4+years of hands on experience in above mentioned Technology and programming methodology. If you have all/any of the above and you think that you can be a part of our growth journey of disrupting the real estate world, apply for the job by mailing us at careers@nobroker.in",Money On Mobile,2 hours ago
Front End UI Developer,"We are seeking a Front End UI Developer strong in JavaScript, HTML5, CSS3 to build highly responsive platform. The role combines front-end coding in HTML5, CSS3 and JavaScript. You'll be responsible for developing, testing, implementing and maintaining web-based application interfaces. Responsibilities: Collaborate with Experience Designers to iterate on the design and implementation of our product. Build efficient and reusable front-end systems and abstractions. Find and address performance issues. Participate in design and code reviews. Constantly improve and innovate to produce user friendly and modern user experience. Identify and communicate best practices for front-end engineering. Desired Skills: Commanding grasp of HTML, CSS, and related web technologies. Expert knowledge of JavaScript. Aware of Object Oriented JavaScript Frameworks (Backbone, Angular, React+Flux Architecture etc). Knowledge on most of modern tools like React, ES6, and SASS. Ability to write high-performance, reusable code for UI components. Experience developing rich applications with HTML/CSS/JS. Passion for producing rich and responsive user interface. Experience: 2+ years of experience building web applications. If you have all/any of the above and you think that you can be a part of our growth journey of disrupting the real estate world, apply for the job by mailing us at careers@nobroker.in",Proptiger,1 week ago
Android Developer,"Role: End to end ownership of complete mobile product right from design, development to testing. Maintenance of mobile app across different versions. Responsibility of maintaining and releasing product (mobile & tablet) on app store. Work closely with product manager and design engineer to validate the proposed design and its performance impact. Ability to build quick prototype for PoC. Optimize apps for best performance. Open mind with zeal to learn and excel. Responsibilities: Design and build applications for the Android platform. Ensure the performance, quality and responsiveness of applications. Collaborate with the team to define, design and ship new features. Identify and correct bottlenecks and fix bugs. Desired Skills: Good experience with Android, Java and Android SDK. Experience with memory management and caching mechanisms specific to mobile devices. Experience working with Android frameworks such as services, activities, database, receiver and network calls. Strong problem solving skills. Good understanding of data structures and algorithms and their space and time complexity. Excellent coding skills, should be able to convert design into code fluently. If you have all/any of the above and you think that you can be a part of our growth journey of disrupting the real estate world, apply for the job by mailing us at careers@nobroker.in",Proptiger,1 week ago
iOS developer,"We are seeking a iOS Developer strong in Objective-C or Swift(recommended) to build highly responsive and scalable platform. You'll be responsible for developing, testing, implementing and maintaining iOS application. Responsibilities: Design and build applications for the IOS platform. Ensure the performance, quality & responsiveness of applications. Collaborate with the team to define, design & ship new features. Identify & correct bottlenecks & fix bugs Desired Skills: Good experience with Objective-C or Swift and IOS SDK. Good working knowledge in Cocoa Touch. Experience with memory management & caching mechanisms specific to mobile devices. Experience working with IOS frameworks Such as core data, core animation, core graphics & core text. Strong problem solving skills Good understanding of data structures & algorithms & their space & time complexity Excellent coding skills ? should be able to convert design into code fluently. Experience: 3+ years of experience building iOS applications. If you have all/any of the above and you think that you can be a part of our growth journey of disrupting the real estate world, apply for the job by mailing us at careers@nobroker.in",AVI Web Solutions,2 hours ago
Software Development Engineer In Test,"Role: Dynamic team player who is consistently motivated toward success and completion of projects with an ability to work independently and a quick learner who can swiftly adapt to new challenges. Strong experience in driving the complete QA cycle, right from the requirement analysis stage till production check out. Define and monitor quality assurance metrics for continuous quality & process improvement. Drive the Automation, Tools, Infra Strategy. Estimates efforts, identify risks, devises and meets project schedule. Communicates clearly and openly with internal and external stakeholders regarding progress, roadblocks and time lines. Responsibilities: You are responsible for various dimensions of testing (functional/non-functional), ensuring quality experiences to our customers. With your extensive technical expertise and judgement, you are an integrated part of the software development team and define, document, analyze, perform and automate tests for products. You will identify functional /non-functional issues and come up with creative resolutions. You are responsible for adhering to best QA practices and improve the quality of the products continuously. You are responsible to create reliability that enable and validate high quality releases at a fast place. You are responsible for creating and executing automation scripts on multiple browsers on Desktop, Mobile-Web and devices(iOS and Android app). Desired Skills: You have a strong technical background, are detail driven and have excellent problem solving abilities. Around 1-3 years of experience in testing and automation. You have exposure to distributed systems or web applications. You have good understanding of STLC and testing processes. You have good product and testing acumen. You can write good automation code/script (Java, Selenium). Working knowledge with one or more functional or non-functional automation stack. Must have experience in tools like selenium, appium, webdriver and maven. Must be aware of frameworks like testng, Page object model and Page factory model. Should possess hand on experience in CI/CD tools like Jenkins. Good to have working knowledge on performance testing and API testing tools like jmeter, Postman and SOAP UI. Should have worked in AGILE. Contribution to open source projects in the Automation/QA is a plus. If you have all/any of the above and you think that you can be a part of our growth journey of disrupting the real estate world, apply for the job by mailing us at careers@nobroker.in",Nirmal Lifestyles,just now
Associate Product Manager / Product Manager,"Role: You will understand our customers requirements through primary and secondary research. You will be initiating lead development of the product and feature roadmap. You will be preparing us in identifying, conceptualizing and prototyping our sevaral customer engagement through apps and website. You will be helping us in improving operations and business goals by designing or improving processes. As part of the product team of NoBroker you will be involved in having lot of interactions with business, operations and customer servicing team. Responsibilities: You will be responsible for driving new feature development from start to finish - write specs, work cross-functionally with engineering, design and data team to launch features, analyse results and make iterations. You will be playing a key role in owning the strategy, roadmap and KPI for a key product area. Preparing a roadmap for product features and ensure time to market is achieved by resource planning in advance. Take logical, data-driven decisions on product features that are high on customer engagement and conversion. Take the consumer experience to the next level by building a world-class product. Desired Skills: Ability to understand the customer pain point and strong desire to solve the problem in best possible/innovative way. Experience with data analysis using SQL and spreadsheets. Passion for user experience, design and experimentation. Self confidence, go-getter attitude and a great team player. Experience of Product Management with consumer internet company is a must. Ability to learn and pick up new tools and technologies to help team deliver. Familiarity with programming and software development process is must. Should have the ability to understand consumer behavior and requirements. Ability to suggest and consider alternative solutions to any given problem and identify bottlenecks and help the team to resolve issues. Should have an experience of working in cross-functional environment. Should be from a top-tier engineering college (IITs). MBA from a premier business school (IIMs/ISB) is a plus. We love start-ups. Any prior experience building or working in a start-up is a huge plus. If you have all/any of the above and you think that you can be a part of our growth journey of disrupting the real estate world, apply for the job by mailing us at careers@nobroker.in",Proptiger,1 week ago
Data Engineer - Analytics,"Role: Analytics: Work closely with Data Sciences, Product & Engineering team to bring insights valuable for the growth of our business. Work closely with the Product Team to build reports and dashboards to support the growing needs of the business. Engineering: Support our Machine Learning & Data Sciences Infrastructure. Deploy, Monitor and scale our Machine Learning models in production. Design, develop and optimize ETL processes required for our Data Products. Requirement & Skillsets: Strong Analytical, Problem Solving & Communication skills Excellent implementation skills in Python with familiarity in OOP concepts Experience in Linux & Shell scripting Working proficiency in Databases like MySQL, MongoDB Experience in Javascript Preferable working knowledge in Elasticsearch & Kibana Preferable knowledge in writing REST APIs Preferable knowledge in working with Docker Experience: 0 - 3 years of experience in data science/analytics. If you have all/any of the above and you think that you can be a part of our growth journey of disrupting the real estate world, apply for the job by mailing us at careers@nobroker.in",SoftTech Engineers,1 week ago
Customer Relationship Manager / Sales Champion,"Roles and Responsibilities: Sales Champion: Identifies business opportunities by identifying prospects. Sells products by establishing contact and developing relationships with prospects; recommending solutions. Outbound calling on data collected through lead generation activities / secondary data sources. Daily follow-ups on older leads and work on new leads. Maintains quality service by establishing and enforcing organization standards. Must be energetic, well-spoken, eager to close sales deals and generate revenue for the organization. Customer Relationship Manager (CRM): Act as relationship manager for the customers. Build sustainable relationships and trust with customer accounts through open and interactive communication. Identify and assess customers needs. Service customer in finding the right tenant / house as per the requirement of customer. Dial outbound and attend inbound calls of customer and leads. Use internal tools and methods to provide best possible service to the customer. Negotiate with leads on behalf of customer. Keep customer up-to date on the progress of his account. Follow communication procedures, guidelines and policies. Go extra mile to provide excellent customer service. Qualifications: Excellent Verbal and Written communication skills. Good interpersonal skills, numerical and analytical ability. Decision making skills. Working knowledge in MS office (Excel, Word.) Language Required: English & Hindi mandatory + Kannada or Tamil optional . Should be flexible for any 9 hour shift. 6 days working. If you have all/any of the above and you think that you can be a part of our growth journey of disrupting the real estate world, apply for the job by mailing us at careers@nobroker.in",Gympik,6 days ago
Associate Manager,"Role: Proven track record of taking ownership and driving results. The ability to dive deep into data and provide thought-provoking, workable business solutions . Working cohesively with the leadership team of highly talented and passionate colleagues . Develop employees and their skill sets to expand the team capabilities and provide growth opportunities for them. Doing process innovation, leading efficiency enhancements with the help of technology and creating a high-output team . Ensuring people synergy and effective communication across teams . Leading initiatives across a vertical by demonstrating leadership skills, driving key process metrics, creating superlative work culture, bringing strong customer focus and leading the company to exponential growth. Requirement & Responsibilities: Working directly with the leadership team of NoBroker; having a high level of work independence, autonomy and empowerment to lead vertical-wide changes.  Exciting and challenging working environment with passionate and enthusiastic people in a fun-filled start-up culture. Being part of a start-up from an early stage, develop cross-functional expertise and be a part of this exciting growth journey of changing the real estate world.   Excellent platform for learning how to build teams, achieve goals and handle high growth situations.  Best-in-class salary and steep learning curve of how a business grows with 6 days working.  If you have all/any of the above and you think that you can be a part of our growth journey of disrupting the real estate world, apply for the job by mailing us at careers@nobroker.in",Sankalp,1 week ago
Administration,"Job Description: To attend incoming calls and receive guests. To receive inbound bills & couriers and entering it in the register. Attending the customers at reception area and guiding them to respective sales members. Coordinate with sales team and provide help for any coordination work. To send out-bound envelops & couriers and maintain out-bound register. To give the required extension to all the staff as and when required. Handling Faxes and maintaining records of all outgoing & incoming faxes. To analyze the cost incurred of all direct lines of the site office and prepare report in coordination with HRD. Taking care of office assistant / boy movement General supervision of office reception and front desk area. Coordinating with housekeeping team for the office."" Education:  Graduate / Dip Hospitality Work Experience: 5 - 6 Years",Bluestone,2 hours ago
Liaisoning,Job Description: Regularly visit BMC office and follow-up for the file movements Keeping the track of file movements at BMC Generate various document from BMC and submission of the required documents on time Education:  Graduate Work Experience: 6 - 8 Years,Housing.com,6 days ago
Architecture,"Job Description: Design coordination with principal architect, visiting their office for getting timely drawing on site Site inspection for the execution Coordinated with engineering / project team for resolving any queries Coordinate with all the consultants and Checking all designs received. Education:  Barch Work Experience: 6 - 8 Years",Droom,just now
Finance,"Job Description: Evaluate projects for financial feasibility Evaluate market trends pertaining to real estate, finance, etc. Undertake financial modelling and sensitivity analysis process to forecast the ROI Make key assumptions and benchmark with industry, which are required to prepare models for the assessment of new project feasibility, NPV, IRR, etc. Ensure accurate information flow to the top management based on projections, to facilitate decision making Collect various details (financial, technical, etc.) from various departments Ensure comprehensive coverage of all aspects that might influence feasibility e.g. other projects in the same area etc. Calculate and track various financial metrics such as EBITDA, ROCE, WACC, NAV etc. Ensure procurement of funds based on business requirements Identify sources and structure of funds to be raised in coordination with the reporting authority Advise the CFO on fund requirements and ensure evaluation of various options to arrive at best alternatives Assist CFO in taking critical decisions on investments of large amounts Prepare project information memorandum Prepare and complete all documentation pertaining to fund raising activities Ensure compliance with investor and bank requirements for all fund raising Assist and guide the finance team in liaising with the banks and investors to ensure reporting of progress of sales, construction progress, approvals, amounts collected and any other specific information Guide creation of standard formats for the reports Comply with all terms as per loan documents on timely basis Establish oneself as key account holder with lender/investor"" Education:  ICWAI Work Experience: 8-10 Years",AxisRooms,just now
Accounts,"Job Description: Prepare all accounting MIS on periodic basis Preparing trial balance, profit and Loss account, balance sheet and get it authorized by management Monitor and control of records as per the statutory requirements Looking after the taxation matters of the company. Understanding the tax liability and adhering to all the rules and regulations. Maintaining proper records of the tax matters Collating the financial data and submitting to seniors and the management "" Education:  CA - Inter Work Experience: 4-6 Years",Bluestone,2 hours ago
Channel Sales,Job Description: Develop & maintain strong networking with Channel Partner’s within the assigned territory. Should possess influencing and relationship building skills with knowledge of the real estate sector. Education:  MBA / PG / Equivalent Work Experience: 6 Years,Proptiger,1 months ago
Direct Sales,Job Description: Experience of handling and interacting with HNI’s having real estate sales experience and networking skills. Must be target-oriented with closing & negotiating competencies. Good communication skills and a confident personality is deemed essential for the role. Education:  MBA / PG / Equivalent Work Experience: 4 - 5 Years,Proptiger,2 hours ago
International Sales,"Job Description: Developing marketing strategies and planning of sales process for its implementation Create awareness and brand image in the Middle east market Developing customer base and building client relationship. Establish the Nirmal Lifestyle brand in global market through events, PR, participation in activities at maximum locations. Conducting market research and analysis for effectiveness in marketing strategy. Branding and promoting the projects as per the marketing plans of the company. Identifying the target customers and building clients for the concerned projects. Establish sales offices to focus on sales in Middle East Tie-ups with international brands to create a group of customers loyal to our Mumbai commercial properties. Education:  Graduate / MBA Work Experience: 4 Years",Droom,1 week ago
CRM,"Job Description: Manage, co-ordinate & execute customer loyalty programs. Engage customers through continuous communications across the product lifecycle. Provide timely responses & quality solutions as defined to all customer queries & complaints. Be pro-active & the SPOC for all customer interactions. Education:  Graduate / MBA Work Experience: 4 Years",Droom,1 months ago
HR,"Job Description: Sourcing, screening & short listing of the candidatures as per the requirement followed by interview co-ordinations. Conducting preliminary interview of the applicants, evaluating the competency as per requirement & coordinating for the next functional evaluation.Preparing the job descriptions in consultation with respective Heads / seniors. Handle & manage the end-to-end on-boarding process. Education:  MBA / PGDM - HR Work Experience: 3-6 Years",Housing.com,1 months ago
Hardware & Networking,"Job Description: Handling end-to-end networking, domain control and trouble-shooting activities. Must be able to handle installation of office automation systems. To assist the seniors with day-to-day technical snags. To monitor the overall functioning of the computers of the employees & to periodically upgrade it. Education:  Graduate in Computers + Diploma in Hardware & Networking Work Experience: 6 Years",Healthkart,1 week ago
Legal,"Job Description: Will be part of the consumer litigation team and will be responsible for all consumer litigation. Handling litigation mandates from inception till final hearing Appearing on behalf of the group before various Judicial query/ Judicial fera Drafting all necessary legal documents in respect for all matters before various courts and authorities; Coordinating and attending meetings with senior counsels and Coordinating and obtaining information from internal departments in connection with litigation mandates; Coordinating and providing information to counsel in jurisdictions other than Bombay where litigation has been filed; and Responding to legal notices. Will be actively involved in all litigation, with the aim to minimize litigation of the company, briefing counsels, drafting plaints, written statements, replies, affidavits, counter-affidavits, appearing before the courts along with the counsels. Preparing consumer cases, collecting and assimilating information in the manner such as to help counsels, in case preparation, assisting counsels in case preparations, making and vetting reply, rejoinder, applications, carrying out research work etc. regard consumer matters. Timely reply to the complaints/grievances escalated with regard consumers, meeting customers if the need arises Skill Sets Strong analytical skills with attention to details Good drafting skills Commercial Acumen Out of the box thinker with excellent problem solving skills Ability to take quick decisions in time crunched situations Articulate with excellent interpersonal skills to facilitate group decisions Interest in Real Estate Education:  BLS/LLB/LLM Work Experience: 8 - 10 Years",Logicserve Digital,1 week ago
QA / QC Engineer,Job Description: Derive specifications of Quality Control & knowledge of various QC tests for obtaining certifications. Preparing mix designs & ensuring quality awareness and submitting reports to the management. Maintain all the quality assurance/check formats. Education:  BE / B.Tech & Civil Work Experience: 15 Years,Dr. Agarwal's Hospital,2 days ago
Engineering,"Job Description: Regular planning and scheduling of the concerned project along with detailed working for different construction activities. Co-ordination with architectural agency, structural consultants and other consultants for obtaining all permissions / approvals for completion of the scheduled work adhering to the TQT. Maintain speed of the project as outlined by the Management without compromising on quality aspects. Education:  B.E. / B.Tech – Civil Work Experience: 15 Years",BlackBuck,just now
Home Loans,"Job Description: Being the SPOC for all customers for home loans process post booking. Pro-actively discussing the case with the team leader & allocate respective banks post seniors approval. Facilitate documentation process for customers & follow-up with customers for file preparation to be submitted in banks. Co-ordinate with collections team for obtaining NOC of respective flat from banks / NBFC, if mortgage and for the registered sales agreement. Education:  Graduate / MBA Work Experience: 3 - 4 Years",Logicserve Digital,1 week ago
Collections,Job Description: Intimating and follow up for recovery from all the customers and handling all projects. Sending regular reminder letters & handling the reconciliation of new bookings as per C3 terms & conditions on a weekly / monthly / quarterly basis. To prepare weekly / monthly / quarterly booking analysis for comparison of rate and area. To make projection of the recovery on weekly / monthly / quarterly basis. Education:  B.Com / MBA Work Experience: 3 - 5 Years,Dr. Agarwal's Hospital,2 week ago
Sr. Relationship Manager MME (Sr. Manager),"Deliver month on month targets on MME Loan Disbursal, Processing Fee, Income and Portfolio Health.Acquire, grow and manage portfolio of Mid Market Clients; Each Relationship Manager to manage between 15-20 accounts in acceptable industry verticals (5-6 industries)Manage end to end Client Engagements in structuring deals, Approval process through Credit, On-boarding, Documentation closure and transactional relationship escalation support.Manage Credit Memo Preparation and Presentation to Credit Committee along with Credit.Drive Client Acceptance, Client Loan Documentation for on-boarding, draw downs and recovery / restructuring efforts if any.Drive any cross Sell initiatives that organization will drive from time to time.Openings for this job are available at Pune, Kochi, Ahmedabad and Mumbai.",Droom,2 months ago
Sale Manager SME (Asst. Manager/ Dy. Manager),"Deliver month on month targets on SME Loan Disbursals, Processing Fee, Income and Portfolio Health.Manage Client Engagements for structuring deals.Manage Client Origination and File Login in line with Organization Policies from time to time with the Credit Team.Engage with CPA and Credit Manager to resolve any Clarification / additional inputs from clients for CAM presentationDrive Client Acceptance, Client Loan Documentation for on-boarding, draw downs and recovery efforts if any.Drive any cross Sell initiatives that organization will drive from time to time.",AxisRooms,1 months ago
Sales Manager-Loan Against Property-Direct (Asst. Manager/ Dy. Manager),"Deliver month on month targets on LAP Loan Disbursal, Processing Fee, Income and Portfolio Health.Manage Client Engagements for structuring deals.Manage Client Origination and File Login in line with Organization Policies from time to time with the Credit TeamEngage with CPA and Credit Manager to resolve any Clarification / additional inputs from clients for CAM presentation.Drive Client Acceptance, Client Loan Documentation for on-boarding, draw downs and recovery efforts if any.Drive any cross Sell initiatives that organization will drive from time to time.",Proptiger,1 week ago
Associate Relationship Manager MME (Manager/ Sr.Manager),"Deliver month on month targets on CAM preparation, MME Loan Enhancements and compliancesPreparing all new / renewal deal CAMs for the relationships mapped.Manage portfolio of Mid Market Clients ; Each Relationship Manager to manage between 20-25 accounts.Manage end to end Client Engagements in structuring deals, Approval process through Credit, On-boarding, documentation closure and transactional relationship escalation support.Drive Client Acceptance, Client Loan Documentation for on-boarding, draw downs and recovery / restructuring efforts if any",Nirmal Lifestyles,6 days ago
Area Sales Manager-LOAN AGAINST PROPERTY-DSA (Manager/Sr. Manager),"Deliver month on month targets on LAP Loan Disbursals, Processing Fee, Income and Portfolio Health.Manage Client Engagements for self .Manage Client Origination and File Login in line with Organization Policies from time to time with the Credit Team.Engage with CPA and Credit Manager to resolve any Clarification / additional inputs from clients for CAM presentation.",BlackBuck,2 days ago
Sales Manager-Loan Against Property-DSA (Asst. Manager/ Dy. Manager),"Deliver month on month targets on LAP Loan Disbursals, Processing Fee, Income and Portfolio Health.Manage Client Engagements for structuring deals.Manage Client Origination and File Login in line with Organization Policies from time to time with the Credit Team.Engage with CPA and Credit Manager to resolve any Clarification / additional inputs from clients for CAM presentation.Drive Client Acceptance, Client Loan Documentation for on-boarding, draw downs and recovery efforts if any.Drive any cross Sell initiatives that organization will drive from time to time.",Bira91,2 days ago
AREA CREDIT MANAGER - LOAN AGAINST PROPERTY (Asst. Manager/ Dy. Manager),"Financial analysis and In-depth eligibility calculation of cases of LAP as per defined policy programs.To maintain TAT of cases logged in for processing.Co-ordinating with vendors for technical, legal etc reports.Delinquency management.Co-ordinating with vendors for technical, legal etc reports Tracking emi bounced cases and analysing such cases for future actionable.MIS monitoring with correct information. Tracking TAT of each and every case.Co-ordinating with sales and ensuring TAT of cases.",SoftTech Engineers,1 months ago
Head - Business Finance (Senior/ General Manager),Job Summary:   Drive Cost Governance across the functions and bench marking Act as bridge between controllership team and business team Business analytics and insights Involved in making investment and pricing strategies Develop controls and processes to ensure all risks and opportunities are highlighted Designing new Sales Incentive Plan and Market payout plans in line with strategies Compilation of all business metrics and report to management on time for effective & informed decision making Internal Controls Forecast division financials for the year and report to management on variances from the established budget and the reason of variances through monthly MIS Strong Exposure to Business Management and Reporting Month End business and investor reporting Forecasting expenses and headcount Monthly MIS flash and final reporting deck with comments and analysis Yearly Planning and budgeting Exercise Allocation rules & billing models to recover function costs from supported businesses Liaise with different department heads and understand the drivers of business finance Adhoc requests and projects Ability to multitask and deliver under the pressure Excellent written and oral communication and presentations skills including excel and PowerPoint         Education ? CA/ CFA/ MBA Finance Exp ? 10+ years of experience Should be from Retail/ FMCG industry,Droom,1 months ago
Manager - Contract Manufacturing,"This position requires proven strategic sourcing skills, communication, collaborative, analytical and negotiation skills. Contract Manufacturing network planning (long and short term) Supporting growth and innovation through identification and implementation with Contract Manufacturing suppliers, including researching and evaluating potential Contract Manufacturing plants for new product launches or transitions Support Make Or Buy analysis of new suppliers, launches and transitions Manage cross-functional communications for specification changes Provide Market intelligence including conducting market studies to identify new Contract Manufacturing sites and develop a robust supplier base Supplier Evaluation & Overall Relationship management to ensure business needs are met including defining objectives and improving supplier performance Budget and Productivity management including managing overall spend, analysing pricing breakouts for manufacturing, establishing and managing budgets and tracking variances. Contract drafting, negotiation and execution, including scope, quality, time and cost of service and other contract terms and conditions working with legal teams Business Unit support including supporting new product launches, line extensions, discontinuations, attending project meetings, working with Contract Manufacturing on sample requests, contributing to sales private label requests, sustainability and social audit requests and ad-hoc information requests Develop RFP/RFQs to select suppliers, analyse and recommend scenarios to stake holders Contract management, including serving as overall communication liaison between Contract Manufacturer and customer, leading final finished goods specification review with R&D, supporting product supply on inventory and material and communicating on specification updates and verification Additional Operational duties including supporting production schedule and schedule adjustments, supporting logistics, warehousing and transportation, working with Quality Assurance on Contract Manufacturer validation and compliance to specifications, and other QA or Regulatory technical support   Qualification: Bachelor's/Master degree in Chemical Engineering / Food tech or a related field of study Minimum of 8-10 years' experience in strategic sourcing or supply chain Experience in the food-processing industry. Preferably in an MNC for more than 3 yrs. Should have worked as production manager/supervisor for min 2 yrs. Good knowledge of GMP, FSSAI, HACCP Good written and verbal communication skills. Worked with budgets and reporting on Metrics, Variances and Expenses. Capable of working through uncertainty with minimal levels of manager direction. Ability to work independently and as part of a team in a cross-functional, multi-cultural, matrix environment Expertise in MS Office (Excel, Word, Outlook, Project) and Adobe Pro Willingness to travel as role may involve over 12 days travel a month.",Droom,6 days ago
